ID,gaslit_yesno,text,story_wordcount
2389,yes,"From the student worker's perspective, I feel the boss would be manipulating me(the worker) into questioning the things I do at work and how I handle myself and if I am even doing a good job or not.",40
2404,yes,"the student worker reports harassment to his supervisor, he was grabbed by another employee. the manager tells the student worker he is being dramatic, and that it that other employee would never do that and he needs to get over what he is feeling. ",44
2436,yes,"The worker is doing their job effectively. the supervisor has committed an error. Then, the supervisor goes to the worker and blames them for their own mistake. The worker takes the blame knowing that they were not at fault.",39
2438,yes,The supervisor tells the worker that her check not going through is her fault when in reality the supervisor gave her a fake check.,24
2444,yes,the student worker experiences his coworkers being rude and his supervisor tells him its his head. the student worker lets it go every time his supervisor tells him it in his head,32
2445,yes,The supervisor constantly threatens the student worker to fire them after every little inconvenience. ,14
2522,yes,"The student worker is making a coffee for a big group of people. One of the orders was a little messed up, but the client was nice and asked her to fix it. The supervisor screams at the worker telling her she can't do anything right.",47
2548,yes,"the supervisor could gaslight the student worker into thinking they agreed to longer shift when they never did by saying something like, you told me you would work these hours don't you remember? You must have bad memory.",39
2549,yes,"The student worker decides to explain to the supervisor that they are unhappy with the work conditions. However, the supervisor does not apologize or make an effort to fix things, and instead calls the student worker ""ungrateful"". ",37
2566,yes,The supervisor went up me and asked why did I give a free cup of coffee to someone. I said I never did that and he did not believe me. The supervisor kept saying he saw me do it but I kept denying and denying.  ,45
2587,yes,a coffee shop worker is doing a big order. One of the people said they didn't like their drink could they get another one. The supervisor hears and tells the worker that she has made the drink wrong and screwed everything up.,43
2607,yes,The supervisor says that there is a shortage of money coming in and blames the employee for not counting change right. The student feels crazy and starts to question whether they counted the change right and worries.,37
2609,yes,Blames her for the coffee not being good nut the supervisor changed brands  ,13
2622,yes,"The student is making coffee and another employee says a negative remark, the manger calls the student sensitive for reporting the other employee. ",23
2631,yes,The supervisor can gaslight the student worker into believing they are doing the job wrong even though that is the way the supervisor taught the student worker to do the job. ,31
2633,yes,The student worker is upset because they get paid less than minimum wage. The supervisor gets mad and says the worker should appreciate the money they make.,27
2642,yes,"If the student makes a drink 100% accurately and sells the drink, but the manager says it was made wrong after it was sold. This could be gaslighting.",28
2662,yes,The supervisor tells the student worker there is not enough workers. They have plenty of workers. The supervisor gaslights the student worker into working overtime. ,25
2665,yes,"The student tells the manager they are being harassed by a coworker and the manager answers by saying ""They would never do that, I'm sure they didn't mean it that way. You're being too sensitive, it's not a big deal."" ",44
2676,yes,Every day when the student worker clocks in the supervisor tells him that he's working too slow when he's working at a good pace. Causing the student worker to mess up orders.,34
2680,yes,The worker cleans the pots in the correct way but the manager insists it is wrong so the student begins to doubt if the way they are cleaning is correct.,30
2681,yes,A supervisor forgets to lock up shop and then proceeds to tell the student worker that they are expected to double check things before they leave and inform the supervisor of any wrong doings even though this is not true,40
2703,yes,"The supervisor could be telling the worker that they keep messing and mixing up different drinks. Even though not true, this statement and degradation from a superior are being infused into the worker's mind to the point where they believe they are in the wrong.",46
2710,yes,"The manager breaks into the coffee shop after hours and takes supplies without anyone knowing. Since the student always closes the shop alone, the manager blames the missing items on the student because they were the last one in the shop.",41
2714,yes,My grandmother gaslit me when I tried to go to college.,11
2727,yes,"Grew up in a narcissistic household, constantly gaslighted by my parents(not on purpose, I guess) they are both unaware of their traumas and behavior patterns, and I believe that when one is unaware of a problem, no problem can be fixed or solved.",44
2729,yes,"I was in a romantic relationship at the time, and my partner at the time had gaslighted me into doing a lot of things including going out when i didn't feel comfortable. ",33
2738,yes,Supervisor(male) tells the student worker(female) that he told her to take out the trash earlier when he did not. She said she never got that order and that he was lying and he is saying no he isn't lying he told her.,45
2771,yes,"The student accidentally didn't put sugar in the supervisor's coffee. Because of this, the supervisor gets mad and calls the employee incompetent. The supervisor gaslights the employee for making a mistake. The employee, therefore, has been a target of gaslighting. ",42
2802,yes,"As the student worker, I would think I am not good enough to be working in any place. This type of doubt will cause me to be afraid of applying to other jobs because I will start thinking I am slacking off in work ethic. ",45
2847,yes,"Why don't you do this correctly, you don't want to be in the front anyways. ",17
2856,yes,"The student took the trash out to the dumpster. When the student came back, the manager once again asked the student to take the trash out. The student responded saying ""I just took it out."" The manager responded saying ""no you did not."" ",43
2866,yes,I just get yelled at my boss for missing a shift yesterday. However I always have they day off. But it is my fault for not looking at the schedule more closely. ,32
2894,yes,not training the worker properly then blaming them when they do not know how to do it ,17
2900,yes,Maybe the supervisor said he'd give extra pay or make the student worker supervisor if he works extra hours ,20
2911,yes,A way of gaslighting that can be done is if the supervisor talked badly behind the employees back and when confronted lied about it even happening.  ,26
2942,yes,The manger would tell the student worker to do something and later would say that he never asked her/him to do something,23
2975,yes,"The supervisor gaslights the student worker by giving him orders on cleaning up before closing the shop, but the student worker tells the supervisor that they spoke about having someone else close the shop.",34
2988,yes,"The student worker could restock a type of coffee and their manager could tell them that they did not do it, even though the worker knows they did.",28
3016,yes,The student made a mistake and ended up giving the customer a free coffee. When the manager/owner found out they said to the student that they were doing it on purpose to make the manager go broke/lose business by giving out free drinks. ,45
3032,yes,"The worker might see the supervisor steal a piece of pizza from the break fridge, and then he calls them out on it and they act like they have no idea what he's talking about.",36
3039,yes,"The student showed up to work after closing the night before. The supervisor yelled at the student for not cleaning the floors last night, but the student remembers he did. The supervisor is gaslighting him into believing he didn't do something he did. ",44
3046,yes,"The student worker probably feels guilty about maybe not being able to pick up shift. Maybe because the student had things going on in their personal life,  the supervisor keeps making the student worker have that guilt or doubt that their issues don't matter. ",45
3065,yes,I believe the supervisor is trying to show dominance over the worker.,12
3067,yes,the supervisor is pressing me about stalking him making me feel miserable about myself. Basically makimg me sound crazy when in fact i just work here and do what i have to do. (hope this is a great way of explaing),41
3127,yes,The worker is telling their supervisor that they aren't being treated fairly at the job. The supervisor tells them that there is nothing wrong and to get back to work. ,31
3143,yes,The supervisor makes the worker think they are wrong for serving coffee in their own way,16
3231,yes,"the supervisor yells at their employee over a mistake that the supervisor made, but blames it on the employee by constantly telling them its all their fault.",27
3246,yes,a girl stole a candy and when a worker asked oif she did she made her believe she didnt. ,19
3268,yes,Telling the student worker to do something that is outside of their job description ,14
3276,yes," Emily endures subtle gaslighting from boss Mr. Thompson. His shifting standards and contradictory remarks sow doubt in her abilities. She confides in coworker Ethan, documents the manipulative behavior, and confronts Thompson. Exposed, he apologizes and pledges change.",37
3283,yes,My sister took my charger and i have seen her with my charger. when i confront her she tells me i am crazy and that she didnt take it when i know she did ,34
3298,yes,The supervisor will gaslight them to do the supervisors work so she wouldn't have to,16
3307,yes,"Makes the student worker does not feel like they are doing their best when they are, and being mean. ",19
3311,yes,When the student worker is doing a great job at work and the supervisor gaslight that the student made multiple errors even the student didn't and convincing the employee that they are are making errors than they are.,39
3353,yes,when the student worker messes up the supervisor doesn't help them and continues to manipulate and blame it on the student worker,23
3362,yes,The worker is constantly being told that they are not doing their job well and how they've got to work harder to catch up,25
3363,yes,The worker can gaslight the student by persuading them and manipulating them to do extra work that's probably their work that they don't want to do ,28
3376,yes,If the customer told the manager that the student got his order wrong but on the order slip it was the correct drink he had made,26
3406,yes,the student workers often have to work late and are not getting compensated for their time. the supervisor is adjusting times to make it look like they only worked their scheduled hours even though the workers know that they clocked out when they actually left.,45
3408,yes,If a student asked for a raise the manager could tell them that all the students make the same and they cant give a raise to them. They could tell them they aren't good enough at their job to deserve a raise. ,43
3432,yes,"The student worker works over the holiday. But the supervisor says they didn't and tries to gaslight them by saying she was never there. If she had been there, they wouldn't have been so busy inside the shop since they would have had more people. ",47
3439,yes, -complains that she does everything wrong which makes her anxious. makes the student worker overwork so now the supervisor has less work to do. This is an ongoing cycle ,29
3441,yes,"The student worker has a negative experience with a coworker that makes her feel uncomfortable, so she reports it to her manager. Her manager tells her that she is being overdramatic, & wasting his time. The student worker no longer reports incidents that make her feel uncomfortable. ",46
3447,yes,the manager forgot to place a new coffee order and now they don't have any more coffee. so the manager ends up blaming the student for his mistake,29
3464,yes,The student is upset because their manager has yelled at them in an unprofessional manner after making a mistake on a coffee. The manager then says they can't be upset at them because they never yell at them and always give them rides home.,45
3511,yes,The drawer is perfect but the supervisor convinces the student worker that they stole $200 until they actually believe they lost or took it.,24
3519,yes,Some day my friend still a knife and then he blame me when I did not do it. My parents criticize me a lot.,24
3536,yes,The student worker has been working many shifts as the supervisor continues to say the work still isn't enough. Gaslighting them into thinking they need to work more. ,29
3548,yes,The students worker came in 10 minutes early to their shift but the manager said that they arrived late. ,19
3554,yes,The student was gaslighted. The supervisor gaslighted them about a coffee order. The student worker was upset about it. The supervisor sent them home. ,24
3559,yes,the supervisor gaslights the worker into thinking he has to clean the windows after closing every day- even though its not in his paycheck. ,24
3581,yes,The supervisor of the student worker forgets to put some items back in the stock room before going on break. Once the supervisor comes back he yells at the student worker and says he told him to put the stuff back. ,41
3589,yes,My supervisor gaslights me at work sometimes. Sometimes he will tell me that I didn't do things even though I remember that I did. He says it with so much confidence I start to doubt that I actually did what he told me.,44
3590,yes,One story could be that the supervisor continuously tells the worker that it is there fault that the coffee shop is not doing well and they are telling them everything they are doing wrong even though those things are untrue.,40
3593,yes,I asked off one weekend and got it approved ahead of time but my boss scheduled me anyways . When I brought it up with him to point out his mistake in scheduling me he claimed I never asked to take off that weekend. ,43
3603,yes,"As a student, I remember to lock the door of the coffee shop at close. The next morning, the coffee shop supervisor manipulates me into believing I have not locked the door. ",32
699,yes,"in this story, the manger would say your making the coffee wrong or you still have 2 more hours when it is past your shift. Then after he says that, they argue about it for 5 to 10 mins when the manger knows he is wrong but just wants to start something with the employees.  ",55
2129,yes,The supervisor miscounted the money at the end of the shift. He blames in on the student worker and yells at the worker by telling him he should have counted the money right. The worker knows he did not count the money at all. The supervisor continues to tell the worker that he saw him counting the money and that he is the only one to blame. ,67
2136,yes,"Student worker is working the register and taking customer orders. One lady comes in and is very rude to the worker and asks to talk to the manager. Afterwards, the manager talks to the student and says that the lady would have been nicer if the worker had a better attitude and better demeanor.",54
2150,yes,"My boss came up to me and was very angry that i did not complete an extra task he asked of me even though i was never asked to complete this task. Even though i tried to explain he never personally asked me, he repeatedly told me that he asked me at this time and place, even though i never remembered it happened.",63
2152,yes,A student worker believes that another coworker is making harsh comments about the student worker's religion or ethnic background. The student worker complains to their supervisor about another employee being insensitive about their religion. The supervisor dismissed the obvious remarks the other employee has made. The supervisor also tells the student employee that they are too sensitive and it is in their head. ,64
2153,yes,"I made the customer a drink and took my time to make sure it was done right. The customer complained and said it was made wrong. My supervisor took the customers side and yelled at me, saying she watched me make it wrong. But I knew I made it right. She was just trying to make me feel bad about myself ",61
2182,yes,"The supervisor is always making offensive jokes about the worker, whether it be about her weight, sexuality, religion, etc... and it hurts the worker's feelings and when she becomes upset, the supervisor tells her she is just too sensitive and he was ""just joking"" and that she shouldn't take things so serious. ",54
2189,yes,"when the student rings up a customer but gives the wrong order, the manager goes to the customer and instigates the situation bad mouthing the student and trying to make the customer lean more towards him instead of being understanding.     from the student perspective it makes you feel small and scared to make mistakes. you are embarrassed  and over time treatment like this can cause anxiety.",66
2191,yes,"The supervisor told me that my milk foam skills are horrible and without him I won't get any better. However, I feel like my milk foaming skills are fine. He also tells me that customers don't like attractive people so thats why he keeps me in the back.",50
2214,yes,the student worker was making coffee and accidentally spilled the coffee grounds. As he cleans it up the supervisor comes over and screams at him. An hour later when he notices the students upset he asks why and the student explains it was because he was yelled at. The supervisor then proceeds to exclaim he did not yell and he is being over dramatic.,64
2217,yes,"The coffee shop frequently runs out of decaf coffee, which can be problematic. It is not right to give a customer regular when they ask for decaf. The student worker knows this, however the supervisor says it is okay. The supervisor tells the student worker that ""no one can taste the difference"" and nothing bad can happen.",57
2226,yes,"The supervisor comes in and asks the student for a coffee. The student makes it exactly how the supervisor requested, however the supervisor insists they asked for whipped cream when they actually didn't. This leads to the student blaming themselves and believing they have poor ordering-taking abilities.",49
2227,yes,"For the past two weeks, Shelly notices that the night shift crew has been leaving a huge mess behind after every shift. In the morning, reluctantly, she would always clean up after them. Shelly eventually brings this problem up to her supervisor, and he says - ""Well you've cleaned up bugger messes during your shift! Sometimes extra work is a part of the job, stop complaining.""",66
2233,yes,The student gets into an encounter with a rude customer. The supervisor undermines the fact that the customer was the one acting badly. The supervisor manipulates the student into believing they were at fault. The student is led into the thought that they were the wrong party instead of the victim. ,51
2248,yes,"I was ordering my food to go on break when I heard my supervisor calling out some disturbing words. I look around and there is no one in the store but us. I hear him yell ""that's hot"" and ""sexy"" multiple times. When I went to tell corporate, he claimed it never happened and I was imagining things. ",59
2253,yes,The supervisor sees the student make the order wrong. Then comments to the student makes the student feel bad about their mistakes. He then questions if the student should even work here or if the student is a good worker. The supervisor asks If the student can do anything right.,50
2263,yes,"Shelby is an excellent worker at Insomnia Cookies. She shows up to work on time, exceeds employee expectations, and takes on extra hours, all while maintaining straight A's. However, her supervisor never acknowledges her efforts. Anytime Shelby calls off work for important affairs or gets tips, her supervisor  never fulfills her requests and tells her how she needs to keep working and that this job is a ""priority.""",69
2275,yes,The supervisor had asked me if I had told a customer if something was out when it wasn't. i knew I hadn't because I heard my coworker telling a customer that. I said no and continued to work. He continued to say that it was me.,48
2278,yes,A customer was yelling at the student worker over spilled coffee that the supervisor had spilled. The student worker is trying to clean it up. The supervisor is blaming the student worker just because they walked by and were a little too close to the supervisor. The customer is telling the supervisor that the worker is incompetent and the supervisor is agreeing while also shading the worker.,67
2280,yes,"The supervisor denies making a rude comment to the student worker. Even though, the supervisor did in fact make this comment. When the student worker brings it up, the supervisor says things like ""I never said that, you are crazy!"" and manipulates the student worker into thinking that the comment was never actually made. This makes the student worker feel bad over something that is not true.",67
2301,yes,"I was at work and I had trouble with another coworker. This coworker was repeatedly rude to me and the customers. There were many bystanders to this interaction. My manager then came over to me and asked me about the incident. I told them what happened, and they told me my coworker would never act that way, that I was lying, and I must have instigated the fight.",68
2317,yes,The supervisor constantly tells the student worker that she looks unpresentable when she comes to work. The student worker now becomes paranoid of how she looks so she trys harder to look good. The student was always a confident person but now becomes doubtful of their appearance to others. The student begins to worry she is not pretty enough and quits her job.,63
2325,yes,The student tries to explain to the supervisor that their mental health is in decline due to the added stress of work so they want to a vacation break. The supervisor then tells the student that they cannot due to the business of the season and they are being lazy. ,50
2331,yes,"Maybe a student worker works a 50-hour week and the manager tells them they are not coming in enough. When the worker says that 50-hours is a lot, the manager says that someone else they know works way more than that and that the student worker should be more dedicated to their job.",55
2371,yes,"An event of gaslighting may be, an event maybe when the employee fails to deliver their customers some coffee due to machine failure. But due to the gap in communication between the employee and the supervisor, the supervisor yells at the employee due to his inability to perform.",48
2398,yes,"the student worker knew that they would not be able to make it to work on time Saturday so they Emailed the supervisor that they would get there late. When the employee arrived late, the supervisor was very angry and claimed that the worker had never Emailed them. They told them that they were crazy and that they had never contacted the supervisor, when in fact they had.",68
2415,yes,My name is Anna and I have been working at the coffee shop on campus for a little while now. I feel that I do a good job and do things right but my supervisor has been gaslighting me about small things. He has been saying I fill the cup too low or do not put enough cream or sugar in the coffee. ,63
2417,yes,"There wasn't whole milk in the fridge to use, so I told my manager because she usually puts it into the fridge. She tells me that I should've known this and checked the fridge before we opened. I am upset that she is upset with me because of it, but that was her responsibility not mine. ",58
2428,yes,"I go to work at the coffee shop on campus, my supervisor there doesn't think I can do my job all by myself. When he is making a coffee incorrectly, and I speak up he constantly tells me ""I have no idea what I'm talking about"". ",48
2430,yes,"I was working with my supervisor on Monday morning. He was on register while I was making the coffee. He clearly gave the customer the wrong change, but blamed me when the drawer was short. He had me pay the difference even though it wasn't me and it was him.",51
2440,yes,The supervisor keep accusing the student worker of stealing money from the cash register. The student worker knows that they did not steal the money. The student worker even sees the footage of their coworker stealing the money. The supervisor deletes the footage and still continues to blame the student worker. ,51
2452,yes,"Everytime I go to my supervisor to speak about me finding another job he glares at me and says, ""Ive given you raise after, raise and yet you still want to quit here.""...I always seem to apologize and stay here but i have such a better job waiting for me.",51
2458,yes,I accidentally spill coffee over the table and have to remake the customers order. My manager comes out and calls me pathetic and threatens to fire me. I usually do a good job but today just wasn't my day. I start to question whether I really am pathetic.,49
2482,yes,"The student knows for a fact they told their supervisor they could not come in on Friday. The supervisor tells them over and over that they never told them that. The student has proof that he even sent the supervisor his availability. Still the supervisor tells the student worker that he must come in, because he never told him he could not work. ",63
2509,yes,My manager is telling me that I stole a cookie a day that I didn't even work on and is trying to convince me that I accidentally stole it. They are telling me that I am just lying and refusing to give it back. He continues to tell me this throughout the day. I start to believe him that I took it. ,63
2521,yes,The student worker is making a coffee that the customer asked for but the customer said that they wanted no ice in their drink so they hand it back to you and then the supervisor sees this and tells the customer that the student worker doesn't do their job properly and that they always get their customers orders wrong and how annoying that is. ,65
2530,yes,"The manager could be manipulative by saying they are going to give the worker bad hours. When the worker questions why they would be given those hours, the manager would use something along the lines as ""this is what is best for you"" or ""I only do this because i care about you"".",53
2544,yes,"One day the supervisor counted the drawer and came short on the money made that day. Knowing that they had been taking the money, they gaslit the student worker into admitting it was them and getting them in trouble with the authority. The student worker felt like they could not speak up or talk back because the supervisor is above them and the supervisor was the one gaslighting the student.",70
2553,yes,"The supervisor instructed the student worker to clean the coffee shop before closing. The next morning, the supervisor spills a bit of coffee and instead of cleaning it up, he yells at the student for not cleaning the store from the night before and shows the student the spill. Although the student recalls cleaning the night before, the supervisor reprimands the student to clean up the mess. ",67
2582,yes,"In my story the manager would be gaslighting the student by saying that they are the reason people aren't coming to the coffee shop anymore. When the student asked for a higher pay. When the student asked about why they were the lowest paid employee the manager replied with ""well you don't make the coffees as well as the other employees"" ",63
2583,yes,"The student worker has been getting upset with another co-worker due to inappropriate name-calling/harassment. The student goes to the supervisor to express their concerns, and the supervisor simply says you probably took what the co-worker said the wrong way and you're being super sensitive and get over it. ",53
2585,yes,The supervisor knocks over a cup of coffee and instantly blames the student worker. the student worker argues that they just watched the supervisor do it. The supervisor looks at them like they're crazy and proceeds to tell the student worker to clean it up. maybe they even use their position to try and threaten to have them written up if they don't obey and take the blame.,70
2603,yes,"The supervisor claims that the worker never restocked the cups when they asked to do so, but the student had not talked to the supervisor yet today. The student knows they could not have been asked to do that task but the supervisor continues with this idea and yells at the student until they cave and apologize or do the task. ",61
2604,yes,"A worker went into work at 8 in the morning, but their boss didn't see them. Then the boss tells the worker that they didn't come in at 8 but they actually came in at 10 even though the worker knows for a fact that they have been working since 8. ",53
2627,yes,A customer claims that the worker made a mistake but they actually did not. When the supervisor is called over the worker tries to explain but is quickly interrupted by the customer. The supervisor consoles the worker later that they are doing a great job but later finds out from a coworker the supervisor was speaking badly of them behind their back.,62
2661,yes,"The supervisor forgets to put the coffee beans away during the closing shift. The supervisor tells the student worker it was them who forgot. The student worker tells them that putting the beans away was the supervisors job the previous shift because they were told to mop the floor. Instead of realizing they made a mistake, the supervisor gas lights the student into believing it was their fault. ",68
2668,yes,One day  I was having a bad day as I had ordered a really nice coffee machine which was stolen off my front door and my whole day was spoilt. So when I was telling my friends about they were rubbing in it that I lost my coffee machine which in short is an example of gaslighting ,57
2739,yes,"When the shop is so crowded the manager had to lend me a hand. He told me he got it covered and I can go on the next order, but then the customer came to complain to him the order was wrong and he apologized blaming all of it on me, telling me busy with other orders right in front of the customer that I'd get my salary cut.",70
2742,yes,The student cleans the coffee shop after closing which consists of wiping down and mopping. He throughly cleans in a speedy manner to get home. The supervisor says it's not clean due to not spending the time he believed was needed to clean everything which resulted in the student having to stay longer. ,54
2755,yes,My mom indulges in drugs and when i found then she told me they were mine and i was going to use them. I remember going to grab a lighter and pulling out meth. I was very sad so i said something and she flipped the whole thing on me like she caught me. ,54
2759,yes,"The student worker has just been sexually assaulted by her other coworker. She goes to her supervisor and tells them the issue. The supervisor says that's not true, and to not make such accusations. The student worker feels like she's crazy because she isn't being believed by someone who has access to the security camera footage. ",59
2778,yes,the student worker would probably be cleaning up something that was spilled by the supervisor bumping into them on purpose then  the supervisor of the coffee shop would say something in the terms of why did you make the mess all over the floor then the student worker would say that was not my fault that  was all yours since you spilled it. ,63
2796,yes,The student checks the schedule and sees they work Monday Wednesday and Friday. The supervisor made a mistake when planning the schedule and realizes the shop is short staffed on Tuesday morning. They reprint the schedule to show the student scheduled as needing to work Tuesday. they text the student five minutes after opening demanding to know where they are and threatening their job over lateness. ,66
2806,yes,"The student worker tries to finish an order that was given by the supervisor but the supervisor gaslights him into thinking he didn't give him the order and was told to work on another. The student proceeds to argue with the supervisor and he responds with ""I think you're exaggerating"" and proceeds to go along his work. ",59
2814,yes,"A student worker does well in his job. However, his boss tries to convince him that he makes many mistakes in his job. For example, his boss tells hi he always messes up people's orders and never balances the cash register correctly. The student worker feels embarrassed and confused and feels targeted by his employer.",56
2825,yes,"An incident is perhpas the supervisor one night had forgotten to lock up shop which lead to a robbery and some cash from the register was stolen. Rather than the supervisor taking the blame for it, they may have made the student worker believe that they were the one who forgot to lock up shop when truly it was the supervisor. ",61
2842,yes,Maybe the supervisor sees there is something wrong in the coffee shop and has no one to blame but the student worker. The supervisor starts yelling at the student worker that they did this and that and make them feel bad about it even if it was not their fault.,50
2859,yes,"Say the manager told the worker specific ways to complete tasks at eh coffee shop, but after someone complains about something the manager starts yelling at the worker for messing up and claims they didnt follow the directions given by the manager; when in reality the worker did follow directions, the manager just did not want to be at fault so convinced the worker it was their fault ",68
2879,yes,"The supervisor gaslights the student worker for making him seem like he is asking for too much. Like the student working is asking for a raise or for better benefits, and instead the supervisor is making it seem like he is such a great boss and that asking for more is insulting. This makes the student feel bad and no longer want better benefits.",64
2898,yes,The supervisor gaslights the student worker into thinking that they do not work hard enough in the shop and never get things done properly. This can be done by telling the student tables are still dirty and people complained of their service (which is not true). This is done to try to make the student work more. ,57
2909,yes,"The supervisor purposefully embarrasses the worker in front of others to feel 'big and mighty'. The worker feels small and is often on edge, feeling that anything that they do will be used against them. The boss only views the worker as an amusement tool, not at all as person. Calling them nicknames, which then becomes their name in the workplace.",61
2937,yes,"I came into work 15 minutes before my shift started, which is when the supervisor and my friend who also works at the shop told me to come in. When I come in for work, the supervisor tells me that I am 15 minutes late, and that they told me to come in a half hour before the shift started. They told me I am lying about them saying otherwise.",70
2948,yes,"The student is accused of messing up an important customers order. The student does not recall ever making a mistake on an order or being confronted by any customer because of an error. However, the supervisor appears confident in the error and blames the worker for the mistake. Due to the supervisor's insistence on the mistake, the worker believes they messed up and blames themselves for being careless. ",69
2957,yes,"I was working in the coffee shop one day and I saw my manager attempt to take another break when she already had one. I mentioned it and she said "" I don't know why you're making such a big deal out of this"". She continued to say that, ""everyone takes breaks and that I've probably done this before, so i don't see the problem"". ",68
2960,yes,"Let's say the worker closed the coffee shop the night before. The next day she goes into work and her supervisor tells her she forgot to clean one of the machines, but she knows for a fact she cleaned it. He keeps telling her no she didn't clean it, despite her knowing she cleaned it. She starts to second guess whether or not she really did clean it.",70
2966,yes,"My manager keeps telling me that money was stolen from the register on the last night shift. But last night it was only me and her working I said to her that I never stole money out of, the register, but she just keeps calling me crazy and says it was defiantly me that did it.    ",56
2967,yes,the supervisor could gaslight the student worker into worker longer hours because there is no one else that could be put on the schedule. The reality of it is that the supervisor likes this student worker the best so he lies and says that no one else is available.,49
2978,yes,"Despite the student working long hours the manager berates them for not working hard enough. If the worker messes up the manager humiliates them in front of their coworkers. If the manager promised a raise but asked later about it they'll blatantly lie despite there being proof. Lastly, they'll praise you one second and punish you the next making the student doubt themselves.",65
2980,yes,the supervisor asks the student to come in a little early because the story is busy and that they can leave earlier than usual and when it comes time to leaving the supervisor says that they never said that and it wouldn't make sense because the store is still busy so it means they have to stay longer and that's what was said,65
2996,yes,"the supervisor asked the student to clean the coffee machine. The student did and then continued to work. when the supervisor came back and checked the machine, he was not happy. He went up to the student and asked why she didn't clean it yet. She said she did and the supervisor told her she didn't because it still looked dirty to him. ",65
2997,yes,The student is upset she did not receive her last pay check. She approaches her supervisor to ask about it and he/she claims that the worker is making false claims and must have lost it. The student worker knows that is not true but feels as if they can't speak up any further. ,55
3019,yes,"The student worker and the supervisor both worked late on Friday night. They both had to clean and close the shop for the weekends and reopen on Monday morning. The supervisor forgot to turn off the light during his exit, so gaslit the student worker into thinking it was her fault.",51
3031,yes,"I went to work as usual after school but today was different because I didn't feel ok mentally. My supervisor was clearly in a bad mood and I had to go tell him I needed to go home. After telling him, he told me it was all in my head and I would be fine to finish the shift. That made me even more upset so I quit. ",69
3071,yes,"The student worker one day noticed there pay was short, so they said something to the supervisor. However, the supervisor said they paid them in full and the student worker must have just lost it. When actually the supervisor did not pay them in full and they know that. So, the student worker just lets it go.",57
3086,yes,"I was ringing up a customer who said they wanted coffee with no creamer. As I am preparing the order my manager asks me why there is no creamer in the coffee, when the customer asked for a small coffee. My manager keeps pestering me about it, so I finally add the creamer, just for the customer to say that they didn't want it.",65
3099,yes,Today at work my boss withheld money from my tips. The amount he gave me was far too low and upon confronting him about it he tells me he has no idea of what Im talking about. He then continues and says that he gave me more than what he should have and that if I were more attentive I would have noticed there weren't more money.,68
3119,yes,The student warned the supervisor about school being a priority. The student even warned her about finals week and about how she might have to take off. A day comes when she needs the day off and the supervisor first says okay. Then she says that she feels as if the student is abusing her kindness by asking for the day off.,62
